,Time,Country,Young to Working Age Dependency Ratio
588,2085,China,22.16910875801956
589,2086,China,22.0930377282283
590,2087,China,21.94795383535673
591,2088,China,21.772067493572127
592,2089,China,21.57171277297788
593,2090,China,21.351715916940872
594,2091,China,21.12361381560696
595,2092,China,20.89632175129035
596,2093,China,20.674004549002177
597,2094,China,20.461806691613997
598,2095,China,20.271336608933158
599,2096,China,20.106854912786396
600,2097,China,19.96930159659557
601,2098,China,19.86859350420557
602,2099,China,19.808586408983885
603,2100,China,19.78225869582161
604,1950,India,64.27874418042609
605,1951,India,64.69962262303743
606,1952,India,65.19408853467982
607,1953,India,65.80833584775965
608,1954,India,66.55782385116439
609,1955,India,67.41400449644746
610,1956,India,68.3294778366067
611,1957,India,69.27368223149301
612,1958,India,70.24564094007756
613,1959,India,71.20090490685926
614,1960,India,72.11631845961286
615,1961,India,73.01520142156683
616,1962,India,73.90393650463601
617,1963,India,74.7673673219462
618,1964,India,75.27230955264197
619,1965,India,75.34190219808636
620,1966,India,75.26230830023655
621,1967,India,75.07864251949243
622,1968,India,74.83484851361318
623,1969,India,74.54181418963438
624,1970,India,74.17478567638611
625,1971,India,73.80173205344673
626,1972,India,73.42577225290174
627,1973,India,73.03899949868918
628,1974,India,72.67931742614829
629,1975,India,72.29683100661143
630,1976,India,71.89391902668868
631,1977,India,71.43782586069666
632,1978,India,70.90636373836679
633,1979,India,70.39253741529936
634,1980,India,69.94232266890586
635,1981,India,69.55793848694584
636,1982,India,69.18385729644521
637,1983,India,68.78282938338333
638,1984,India,68.39437676958012
639,1985,India,68.01292941792305
640,1986,India,67.6231520771426
641,1987,India,67.19336992061723
642,1988,India,66.68554163112735
643,1989,India,66.11795836143398
644,1990,India,65.51317224164887
645,1991,India,64.9003058190604
646,1992,India,64.29927552320194
647,1993,India,63.69380239032994
648,1994,India,63.03830074221646
649,1995,India,62.31391678455008
650,1996,India,61.51824496168926
651,1997,India,60.67481417296765
652,1998,India,59.80422927806662
653,1999,India,58.89262525918466
654,2000,India,57.975248046120576
655,2001,India,57.062971840314056
656,2002,India,56.15051028460868
657,2003,India,55.23273972124437
658,2004,India,54.28907558563372
659,2005,India,53.337787290188764
660,2006,India,52.36097440445484
661,2007,India,51.359057311966815
662,2008,India,50.373361192677315
663,2009,India,49.40810924534265
664,2010,India,48.43802287257806
665,2011,India,47.46379343118233
666,2012,India,46.49355387304024
667,2013,India,45.52494807088077
668,2014,India,44.55034160925864
669,2015,India,43.56649901113997
670,2016,India,42.57419360794729
671,2017,India,41.582265289403466
672,2018,India,40.63664012125769
673,2019,India,39.73175747150107
674,2020,India,38.84876732843119
675,2021,India,38.05008463670107
676,2022,India,37.32645835984941
677,2023,India,36.60329997125194
678,2024,India,35.87805201060014
679,2025,India,35.183922690986925
680,2026,India,34.5293674638267
681,2027,India,33.916287003452524
682,2028,India,33.34715090329786
683,2029,India,32.848721960114894
684,2030,India,32.40648679821402
685,2031,India,31.96834064285636
686,2032,India,31.563643466193913
687,2033,India,31.19572185566819
688,2034,India,30.86306750240108
689,2035,India,30.586204380612635
690,2036,India,30.331677030032207
691,2037,India,30.080420947010932
692,2038,India,29.831949337206947
693,2039,India,29.579124692635745
694,2040,India,29.320234731664097
695,2041,India,29.06465554413515
696,2042,India,28.81223356028889
697,2043,India,28.555361685984586
698,2044,India,28.300024599354977
699,2045,India,28.05077651817605
700,2046,India,27.81103303911396
701,2047,India,27.577811405762514
702,2048,India,27.35412725278856
703,2049,India,27.14266830223765
704,2050,India,26.939632242333207
705,2051,India,26.75105411235083
706,2052,India,26.57462730429566
707,2053,India,26.402774754500356
708,2054,India,26.243802231132396
709,2055,India,26.10199281520592
710,2056,India,25.974741803484292
711,2057,India,25.86350270444337
712,2058,India,25.77050967645629
713,2059,India,25.695470057133935
714,2060,India,25.63411020426632
715,2061,India,25.58589745282011
716,2062,India,25.553429705762937
717,2063,India,25.530837650724347
718,2064,India,25.51669509648635
719,2065,India,25.51472139706866
720,2066,India,25.522286721913893
721,2067,India,25.534497330845916
722,2068,India,25.548093492533614
723,2069,India,25.561759623655973
724,2070,India,25.566520261631027
725,2071,India,25.556437512422736
726,2072,India,25.534880150548606
727,2073,India,25.51119754424397
728,2074,India,25.49062798490742
729,2075,India,25.46711449716258
730,2076,India,25.437045670485283
731,2077,India,25.397724854069835
732,2078,India,25.34718880589242
733,2079,India,25.286020134713915
734,2080,India,25.21998975402203
735,2081,India,25.157467645162107
736,2082,India,25.096411818537685
737,2083,India,25.040519214160383
738,2084,India,24.984113875097268
739,2085,India,24.923014987554527
740,2086,India,24.867753064697453
741,2087,India,24.822191708500483
742,2088,India,24.783693684780708
743,2089,India,24.753917786574462
744,2090,India,24.734501210674743
745,2091,India,24.721270909705577
746,2092,India,24.71294458623928
747,2093,India,24.71188188217357
748,2094,India,24.716305533070297
749,2095,India,24.726281190862174
750,2096,India,24.741084256977828
751,2097,India,24.752360876054762
752,2098,India,24.75508340703513
753,2099,India,24.753770545200638
754,2100,India,24.753395367145377
755,1950,Indonesia,72.43447894129335
756,1951,Indonesia,70.89833908534155
757,1952,Indonesia,69.6003835520612
758,1953,Indonesia,68.59316788238492
759,1954,Indonesia,67.87383676776768
760,1955,Indonesia,67.4074522854133
761,1956,Indonesia,67.1954053957197
762,1957,Indonesia,67.23861048199706
763,1958,Indonesia,67.52893600531455
764,1959,Indonesia,68.04342607769345
765,1960,Indonesia,68.76150854671057
766,1961,Indonesia,69.63036983709287
767,1962,Indonesia,70.64721789473177
768,1963,Indonesia,71.81062407071785
769,1964,Indonesia,73.03732485024979
770,1965,Indonesia,74.35981200915536
771,1966,Indonesia,75.66327222574026
772,1967,Indonesia,76.7363742644868
773,1968,Indonesia,77.50243658350743
774,1969,Indonesia,77.97412545988294
775,1970,Indonesia,78.23610407495156
776,1971,Indonesia,78.29331944423389
777,1972,Indonesia,78.15285370612256
778,1973,Indonesia,77.85299957474177
779,1974,Indonesia,77.38722160838401
780,1975,Indonesia,76.7642897662806
781,1976,Indonesia,76.0219734455436
782,1977,Indonesia,75.1775770048249
783,1978,Indonesia,74.26923229579592
784,1979,Indonesia,73.30888295135252
785,1980,Indonesia,72.28227110457237
786,1981,Indonesia,71.17989845332491
787,1982,Indonesia,70.036885123607
