,Time,Country,Young and Old to Working Age Dependency Ratio
177,1976,Bangladesh,94.24485863920151
178,1977,Bangladesh,94.02998352213179
179,1978,Bangladesh,93.96302918969943
180,1979,Bangladesh,94.04709141930493
181,1980,Bangladesh,94.24245398176105
182,1981,Bangladesh,94.39823568062926
183,1982,Bangladesh,94.35771734108368
184,1983,Bangladesh,94.0401254416097
185,1984,Bangladesh,93.479988848462
186,1985,Bangladesh,92.73792782607855
187,1986,Bangladesh,91.79487154465656
188,1987,Bangladesh,90.59945728512315
189,1988,Bangladesh,89.2516092881668
190,1989,Bangladesh,87.89900337122607
191,1990,Bangladesh,86.51502978544086
192,1991,Bangladesh,84.92919883069342
193,1992,Bangladesh,83.21554762754346
194,1993,Bangladesh,81.49482372034045
195,1994,Bangladesh,79.72145146391976
196,1995,Bangladesh,77.91081038154088
197,1996,Bangladesh,76.06498230682817
198,1997,Bangladesh,74.25906976451303
199,1998,Bangladesh,72.60113696039889
200,1999,Bangladesh,71.09289733620253
201,2000,Bangladesh,69.6918063592754
202,2001,Bangladesh,68.50638825884258
203,2002,Bangladesh,67.52426195063737
204,2003,Bangladesh,66.6270998648991
205,2004,Bangladesh,65.72782703497283
206,2005,Bangladesh,64.81457522625139
207,2006,Bangladesh,64.06675741620059
208,2007,Bangladesh,63.38867514730787
209,2008,Bangladesh,62.75268911071043
210,2009,Bangladesh,61.96239364735479
211,2010,Bangladesh,60.84629747624949
212,2011,Bangladesh,59.60078915214056
213,2012,Bangladesh,58.214342756017054
214,2013,Bangladesh,56.73103926397959
215,2014,Bangladesh,55.256359329310655
216,2015,Bangladesh,53.86646476100406
217,2016,Bangladesh,52.5465446269374
218,2017,Bangladesh,51.29175862098309
219,2018,Bangladesh,50.18933785720673
220,2019,Bangladesh,49.25527676495655
221,2020,Bangladesh,48.4012905361049
222,2021,Bangladesh,47.66707236773585
223,2022,Bangladesh,47.08819119763219
224,2023,Bangladesh,46.61569371646939
225,2024,Bangladesh,46.26094930802263
226,2025,Bangladesh,46.024293154048294
227,2026,Bangladesh,45.88907294042227
228,2027,Bangladesh,45.81316293564806
229,2028,Bangladesh,45.740732777497016
230,2029,Bangladesh,45.66639795137701
231,2030,Bangladesh,45.61025039971058
232,2031,Bangladesh,45.572704426877955
233,2032,Bangladesh,45.58969688318095
234,2033,Bangladesh,45.63980562729802
235,2034,Bangladesh,45.6735822073326
236,2035,Bangladesh,45.71244307294654
237,2036,Bangladesh,45.76997126818808
238,2037,Bangladesh,45.87055907701056
239,2038,Bangladesh,45.994358334147265
240,2039,Bangladesh,46.105541877536524
241,2040,Bangladesh,46.218609526146956
242,2041,Bangladesh,46.35281305105333
243,2042,Bangladesh,46.5264308948978
244,2043,Bangladesh,46.749132384038624
245,2044,Bangladesh,47.02829651461521
246,2045,Bangladesh,47.36884001380003
247,2046,Bangladesh,47.77399341371998
248,2047,Bangladesh,48.25240449564268
249,2048,Bangladesh,48.77703362425943
250,2049,Bangladesh,49.32976245085359
251,2050,Bangladesh,49.9307079788415
252,2051,Bangladesh,50.578035013139775
253,2052,Bangladesh,51.2762185013456
254,2053,Bangladesh,52.01865957756863
255,2054,Bangladesh,52.81319377097356
256,2055,Bangladesh,53.661812390101915
257,2056,Bangladesh,54.51849365112882
258,2057,Bangladesh,55.36419872521275
259,2058,Bangladesh,56.20560097676277
260,2059,Bangladesh,57.07696607832011
261,2060,Bangladesh,57.97408766097283
262,2061,Bangladesh,58.86913260392581
263,2062,Bangladesh,59.81502886484918
264,2063,Bangladesh,60.816546701114696
265,2064,Bangladesh,61.83612538204962
266,2065,Bangladesh,62.88278730129224
267,2066,Bangladesh,63.962910215463644
268,2067,Bangladesh,65.05771807410467
269,2068,Bangladesh,66.15190936538082
270,2069,Bangladesh,67.23067174479519
271,2070,Bangladesh,68.2463395285656
272,2071,Bangladesh,69.18451006138295
273,2072,Bangladesh,70.07382327570174
274,2073,Bangladesh,70.90572363527194
275,2074,Bangladesh,71.65232457765657
276,2075,Bangladesh,72.30494201525649
277,2076,Bangladesh,72.86587126014638
278,2077,Bangladesh,73.37062220070723
279,2078,Bangladesh,73.88030000184779
280,2079,Bangladesh,74.40339431986416
281,2080,Bangladesh,74.92207338415353
282,2081,Bangladesh,75.44924133671515
283,2082,Bangladesh,75.96565402771064
284,2083,Bangladesh,76.49612700093435
285,2084,Bangladesh,77.08067526598622
286,2085,Bangladesh,77.67761253725001
287,2086,Bangladesh,78.27312657342038
288,2087,Bangladesh,78.86904055893626
289,2088,Bangladesh,79.46193366276448
290,2089,Bangladesh,80.05881492544866
291,2090,Bangladesh,80.65307603062436
292,2091,Bangladesh,81.2324239956684
293,2092,Bangladesh,81.80007294970204
294,2093,Bangladesh,82.35270437087756
295,2094,Bangladesh,82.89200570996339
296,2095,Bangladesh,83.40567894925512
297,2096,Bangladesh,83.88802390899058
298,2097,Bangladesh,84.35030673981859
299,2098,Bangladesh,84.78502219303793
300,2099,Bangladesh,85.20200897379596
301,2100,Bangladesh,85.60602956052637
302,1950,Brazil,81.57116753201383
303,1951,Brazil,82.08990523774808
304,1952,Brazil,82.63789960034664
305,1953,Brazil,83.1774679873706
306,1954,Brazil,83.71461011085003
307,1955,Brazil,84.3062933891624
308,1956,Brazil,84.94015075030418
309,1957,Brazil,85.59533319457024
310,1958,Brazil,86.27036404451292
311,1959,Brazil,86.96671875279026
312,1960,Brazil,87.67449288676778
313,1961,Brazil,88.32600525337745
314,1962,Brazil,88.82198131928328
315,1963,Brazil,89.07306070416813
316,1964,Brazil,88.96574036093251
317,1965,Brazil,88.58241431426447
318,1966,Brazil,88.0715795780647
319,1967,Brazil,87.40966843452324
320,1968,Brazil,86.59292161685174
321,1969,Brazil,85.65096841028263
322,1970,Brazil,84.61985492657581
323,1971,Brazil,83.5261280222291
324,1972,Brazil,82.37539285872111
325,1973,Brazil,81.18139987618056
326,1974,Brazil,79.9430955915808
327,1975,Brazil,78.68548680037082
328,1976,Brazil,77.45057651284058
329,1977,Brazil,76.24170771610682
330,1978,Brazil,75.08046499330737
331,1979,Brazil,74.00697969478443
332,1980,Brazil,73.05209978625396
333,1981,Brazil,72.22658746404919
334,1982,Brazil,71.5176160508709
335,1983,Brazil,70.895261112861
336,1984,Brazil,70.30285477080993
337,1985,Brazil,69.68158176673246
338,1986,Brazil,69.01411698130778
339,1987,Brazil,68.30692088597047
340,1988,Brazil,67.54063023081565
341,1989,Brazil,66.7261123556359
342,1990,Brazil,65.85127637347566
343,1991,Brazil,64.89114534019336
344,1992,Brazil,63.84854929949031
345,1993,Brazil,62.743920270874895
346,1994,Brazil,61.603222947887524
347,1995,Brazil,60.437505622758415
348,1996,Brazil,59.25636472392165
349,1997,Brazil,58.07128055816467
350,1998,Brazil,56.90753488617695
351,1999,Brazil,55.76734866181607
352,2000,Brazil,54.64985147944446
353,2001,Brazil,53.58266831207489
354,2002,Brazil,52.56231520642126
355,2003,Brazil,51.57948409760545
356,2004,Brazil,50.671308828366236
357,2005,Brazil,49.85815779047391
358,2006,Brazil,49.110313060836056
359,2007,Brazil,48.402850190786076
360,2008,Brazil,47.70840396472433
361,2009,Brazil,47.01751093435733
362,2010,Brazil,46.332854880234464
363,2011,Brazil,45.66533539231587
