,Time,Country,Old to Working Age Dependency Ratio
138,2088,Afghanistan,19.19848857669209
139,2089,Afghanistan,19.68035060756604
140,2090,Afghanistan,20.155264177064687
141,2091,Afghanistan,20.628747642739995
142,2092,Afghanistan,21.101151107512166
143,2093,Afghanistan,21.56723809882167
144,2094,Afghanistan,22.026833198750175
145,2095,Afghanistan,22.48218308843863
146,2096,Afghanistan,22.931748928095768
147,2097,Afghanistan,23.376140474407087
148,2098,Afghanistan,23.814856289400897
149,2099,Afghanistan,24.24602628116036
150,2100,Afghanistan,24.67315114589743
151,1950,Bangladesh,7.0895283455906055
152,1951,Bangladesh,6.746186042425646
153,1952,Bangladesh,6.434874342792561
154,1953,Bangladesh,6.168047503213522
155,1954,Bangladesh,5.950790249007849
156,1955,Bangladesh,5.781014518255501
157,1956,Bangladesh,5.655049642449842
158,1957,Bangladesh,5.571537012171816
159,1958,Bangladesh,5.530743715920748
160,1959,Bangladesh,5.51159420303318
161,1960,Bangladesh,5.497833837228573
162,1961,Bangladesh,5.497497675729416
163,1962,Bangladesh,5.5172036711902885
164,1963,Bangladesh,5.560879873569726
165,1964,Bangladesh,5.6259842886134255
166,1965,Bangladesh,5.695202899363408
167,1966,Bangladesh,5.769496197791604
168,1967,Bangladesh,5.852574290428343
169,1968,Bangladesh,5.935981422775531
170,1969,Bangladesh,6.020150804105483
171,1970,Bangladesh,6.086983721787789
172,1971,Bangladesh,6.009033112015418
173,1972,Bangladesh,5.951937623232621
174,1973,Bangladesh,6.041025637383528
175,1974,Bangladesh,6.122045378901739
176,1975,Bangladesh,6.206243364877981
177,1976,Bangladesh,6.305905579244155
178,1977,Bangladesh,6.410436536120569
179,1978,Bangladesh,6.507941333465992
180,1979,Bangladesh,6.595204505045553
181,1980,Bangladesh,6.669389956752872
182,1981,Bangladesh,6.721905760235678
183,1982,Bangladesh,6.748543801370347
184,1983,Bangladesh,6.753240780227955
185,1984,Bangladesh,6.746951465625166
186,1985,Bangladesh,6.73836681312557
187,1986,Bangladesh,6.723370088484719
188,1987,Bangladesh,6.696127475186973
189,1988,Bangladesh,6.651227437515711
190,1989,Bangladesh,6.585315941136022
191,1990,Bangladesh,6.514483544661903
192,1991,Bangladesh,6.4505300947491255
193,1992,Bangladesh,6.397153680790408
194,1993,Bangladesh,6.346056382060103
195,1994,Bangladesh,6.289658228206912
196,1995,Bangladesh,6.244868538527151
197,1996,Bangladesh,6.20319296342056
198,1997,Bangladesh,6.17724621602039
199,1998,Bangladesh,6.205908323437261
200,1999,Bangladesh,6.290149242062676
201,2000,Bangladesh,6.38198007953033
202,2001,Bangladesh,6.459783891319451
203,2002,Bangladesh,6.542726984804155
204,2003,Bangladesh,6.629414157208048
205,2004,Bangladesh,6.710389612576195
206,2005,Bangladesh,6.785064812979861
207,2006,Bangladesh,6.869661305427299
208,2007,Bangladesh,6.944921364006322
209,2008,Bangladesh,7.019254939222906
210,2009,Bangladesh,7.090802860273245
211,2010,Bangladesh,7.152549260643029
212,2011,Bangladesh,7.218446425441198
213,2012,Bangladesh,7.276724447180727
214,2013,Bangladesh,7.310519017627668
215,2014,Bangladesh,7.3304860381012915
216,2015,Bangladesh,7.396881964275108
217,2016,Bangladesh,7.514585187462819
218,2017,Bangladesh,7.671882219179441
219,2018,Bangladesh,7.879688788937994
220,2019,Bangladesh,8.125262825293834
221,2020,Bangladesh,8.35938917056639
222,2021,Bangladesh,8.604725759583463
223,2022,Bangladesh,8.890625609045252
224,2023,Bangladesh,9.186878647800825
225,2024,Bangladesh,9.491761207975454
226,2025,Bangladesh,9.80800912226034
227,2026,Bangladesh,10.135905652158641
228,2027,Bangladesh,10.47170671489251
229,2028,Bangladesh,10.808590592321016
230,2029,Bangladesh,11.147609554000391
231,2030,Bangladesh,11.496889642439964
232,2031,Bangladesh,11.869875953857747
233,2032,Bangladesh,12.283792069355668
234,2033,Bangladesh,12.731705221684898
235,2034,Bangladesh,13.196979965702418
236,2035,Bangladesh,13.677880295423813
237,2036,Bangladesh,14.17940679326725
238,2037,Bangladesh,14.7171436848639
239,2038,Bangladesh,15.273422149465157
240,2039,Bangladesh,15.82385677710365
241,2040,Bangladesh,16.374832345725682
242,2041,Bangladesh,16.93502965269281
243,2042,Bangladesh,17.515749104773715
244,2043,Bangladesh,18.11912354714969
245,2044,Bangladesh,18.74896156622089
246,2045,Bangladesh,19.408079264137402
247,2046,Bangladesh,20.096769796644747
248,2047,Bangladesh,20.82502981279393
249,2048,Bangladesh,21.571938419243168
250,2049,Bangladesh,22.324508521587163
251,2050,Bangladesh,23.098745171528286
252,2051,Bangladesh,23.892484648163208
253,2052,Bangladesh,24.70916850230104
254,2053,Bangladesh,25.547752892549845
255,2054,Bangladesh,26.417895593916057
256,2055,Bangladesh,27.319800376777536
257,2056,Bangladesh,28.220831708198858
258,2057,Bangladesh,29.11200500448421
259,2058,Bangladesh,30.0038447143785
260,2059,Bangladesh,30.926001311357986
261,2060,Bangladesh,31.8720567403451
262,2061,Bangladesh,32.82018275102139
263,2062,Bangladesh,33.81617365309942
264,2063,Bangladesh,34.863129458486156
265,2064,Bangladesh,35.93013108897875
266,2065,Bangladesh,37.024467350394524
267,2066,Bangladesh,38.14431541923572
268,2067,Bangladesh,39.27646791753056
269,2068,Bangladesh,40.409081815906475
270,2069,Bangladesh,41.52612754871792
271,2070,Bangladesh,42.59065332457637
272,2071,Bangladesh,43.58601252492264
273,2072,Bangladesh,44.53030172567114
274,2073,Bangladesh,45.414861658585984
275,2074,Bangladesh,46.2167772007
276,2075,Bangladesh,46.927244686446045
